date,GPP_NT_VUT_REF,n_datapoints,n_measured,SW_IN_F,f_measured
2005-07-17,6.278475479166667,48,18,319.93308333333334,0.375
2005-07-18,6.3463743125,48,8,172.05058333333332,0.16666666666666666
2005-07-19,7.1785235,48,6,204.95995833333333,0.125
2005-07-20,8.8060505,48,31,266.6694166666667,0.6458333333333334
2005-07-21,5.9576912916666664,48,24,255.1189375,0.5
2005-07-22,8.4827609375,48,30,258.5200625,0.625
2005-07-23,9.746103354166667,48,24,248.61072916666666,0.5
2005-07-24,4.311610020833333,48,7,145.5376875,0.14583333333333334
2005-07-25,4.7660368958333335,48,3,131.62454166666666,0.0625
2005-07-26,8.4159946875,48,3,216.08925,0.0625
2005-07-27,7.376473875,48,4,316.14402083333334,0.08333333333333333
2005-07-28,10.598082729166666,48,5,307.00416666666666,0.10416666666666667
2005-07-29,9.001528375,48,12,184.83739583333335,0.25
2005-07-30,6.243994104166667,48,0,126.33260416666667,0
2005-07-31,9.414287604166667,48,14,203.7748125,0.2916666666666667
2005-08-01,9.9776625625,48,24,286.059125,0.5
2005-08-02,0.026633791666666684,48,0,25.185479166666667,0
2005-08-03,3.189144333333333,48,6,73.56304166666666,0.125
2005-08-04,7.4777632291666665,48,3,205.97899999999998,0.0625
2005-08-05,8.212840958333333,48,24,306.4040625,0.5
2005-08-06,7.024564708333333,48,18,182.90260416666666,0.375
2005-08-07,7.0177345625,48,28,208.51639583333332,0.5833333333333334
2005-08-08,7.032873145833333,48,26,303.9551041666667,0.5416666666666666
2005-08-09,8.173278104166666,48,19,330.73179166666665,0.3958333333333333
2005-08-10,7.421025375,48,23,322.4666041666667,0.4791666666666667
2005-08-11,10.096791541666667,48,26,280.39785416666666,0.5416666666666666
2005-08-12,8.008325333333334,48,22,301.52310416666666,0.4583333333333333
2005-08-13,10.1613875,48,20,227.07845833333334,0.4166666666666667
2005-08-14,5.88496675,48,7,92.13547916666667,0.14583333333333334
2005-08-15,4.223141458333333,48,5,49.49008333333333,0.10416666666666667
2005-08-16,8.699360958333333,48,22,157.66466666666668,0.4583333333333333
2005-08-17,11.135931125,48,35,292.3894375,0.7291666666666666
2005-08-18,7.7905179375,48,9,218.87416666666667,0.1875
2005-08-19,9.320035708333334,48,16,222.555375,0.3333333333333333
2005-08-20,4.764263229166667,48,4,49.52704166666667,0.08333333333333333
2005-08-21,0.9583771041666667,48,2,14.283458333333334,0.041666666666666664
2005-08-22,0.6945577291666667,48,0,13.834520833333332,0
2005-08-23,7.173085895833333,48,29,191.32977083333333,0.6041666666666666
